Date,PowerType,Electricity,TotalElectricity
2022/01/01 00:00,SolarPower,4397.5,4397.5
2022/01/01 00:00,HydroPower,4366.63,8764.13
2022/01/01 00:00,WindPower,3812.58,12576.71
2022/01/01 00:00,Consume,9801.03,2775.68
2022/01/01 01:00,SolarPower,3189.09,5964.77
2022/01/01 01:00,HydroPower,4312.77,10277.54
2022/01/01 01:00,WindPower,428.16,10705.7
2022/01/01 01:00,Consume,9132.05,1573.65
2022/01/01 02:00,SolarPower,2626.96,4200.61
2022/01/01 02:00,HydroPower,4427.46,8628.07
2022/01/01 02:00,WindPower,1227.82,9855.89
2022/01/01 02:00,Consume,709.19,9146.7
2022/01/01 03:00,SolarPower,2875.59,12022.29
2022/01/01 03:00,HydroPower,1098.4,13120.69
2022/01/01 03:00,WindPower,1673.82,14794.51
2022/01/01 03:00,Consume,13148.84,1645.67
2022/01/01 04:00,SolarPower,4135.32,5780.99
2022/01/01 04:00,HydroPower,164.67,5945.66
2022/01/01 04:00,WindPower,34.27,5979.93
2022/01/01 04:00,Consume,5616.34,363.59
2022/01/01 05:00,SolarPower,2587.93,2951.52
2022/01/01 05:00,HydroPower,4200.84,7152.36
2022/01/01 05:00,WindPower,2487.41,9639.77
2022/01/01 05:00,Consume,3561.34,6078.43
2022/01/01 06:00,SolarPower,2307.83,8386.26
2022/01/01 06:00,HydroPower,1348.47,9734.73
2022/01/01 06:00,WindPower,3423.41,13158.14
2022/01/01 06:00,Consume,479.01,12679.13
2022/01/01 07:00,SolarPower,2336.92,15016.05
2022/01/01 07:00,HydroPower,795.71,15811.76
2022/01/01 07:00,WindPower,398.02,16209.78
2022/01/01 07:00,Consume,813.14,15396.64
2022/01/01 08:00,SolarPower,2555.84,17952.48
2022/01/01 08:00,HydroPower,3072.59,21025.07
2022/01/01 08:00,WindPower,2.77,21027.84
2022/01/01 08:00,Consume,10292.62,10735.22
2022/01/01 09:00,SolarPower,824.97,11560.19
2022/01/01 09:00,HydroPower,4881.63,16441.82
2022/01/01 09:00,WindPower,1390.13,17831.95
2022/01/01 09:00,Consume,2063.18,15768.77
2022/01/01 10:00,SolarPower,2348.49,18117.26
2022/01/01 10:00,HydroPower,4993.57,23110.83
2022/01/01 10:00,WindPower,874.34,23985.17
2022/01/01 10:00,Consume,5679.87,18305.3
2022/01/01 11:00,SolarPower,4615.77,22921.07
2022/01/01 11:00,HydroPower,4132.77,27053.84
2022/01/01 11:00,WindPower,922.53,27976.37
2022/01/01 11:00,Consume,13975.93,14000.44
2022/01/01 12:00,SolarPower,4108.54,18108.98
2022/01/01 12:00,HydroPower,500.03,18609.01
2022/01/01 12:00,WindPower,2289.09,20898.1
2022/01/01 12:00,Consume,11334.26,9563.84
2022/01/01 13:00,SolarPower,121.28,9685.12
2022/01/01 13:00,HydroPower,2179.4,11864.52
2022/01/01 13:00,WindPower,2645.12,14509.64
2022/01/01 13:00,Consume,10972.1,3537.54
2022/01/01 14:00,SolarPower,4004.08,7541.62
2022/01/01 14:00,HydroPower,4414.12,11955.74
2022/01/01 14:00,WindPower,2284.55,14240.29
2022/01/01 14:00,Consume,7453.25,6787.04
2022/01/01 15:00,SolarPower,2960.14,9747.18
2022/01/01 15:00,HydroPower,4967.59,14714.77
2022/01/01 15:00,WindPower,4664.77,19379.54
2022/01/01 15:00,Consume,10887.77,8491.77
2022/01/01 16:00,SolarPower,3563.01,12054.78
2022/01/01 16:00,HydroPower,4644.35,16699.13
2022/01/01 16:00,WindPower,274.8,16973.93
2022/01/01 16:00,Consume,3951.72,13022.21
2022/01/01 17:00,SolarPower,2273.34,15295.55
2022/01/01 17:00,HydroPower,2963.68,18259.23
2022/01/01 17:00,WindPower,122.11,18381.34
2022/01/01 17:00,Consume,7577.47,10803.87
2022/01/01 18:00,SolarPower,4412.5,15216.37
2022/01/01 18:00,HydroPower,3401.52,18617.89
2022/01/01 18:00,WindPower,1995.4,20613.29
2022/01/01 18:00,Consume,3797.9,16815.39
2022/01/01 19:00,SolarPower,2574.63,19390.02
2022/01/01 19:00,HydroPower,209.08,19599.1
2022/01/01 19:00,WindPower,81.56,19680.66
2022/01/01 19:00,Consume,19172.96,507.7
2022/01/01 20:00,SolarPower,2803.2,3310.9
2022/01/01 20:00,HydroPower,2176.31,5487.21
2022/01/01 20:00,WindPower,4123.53,9610.74
2022/01/01 20:00,Consume,4526.87,5083.87
2022/01/01 21:00,SolarPower,1133.6,6217.47
2022/01/01 21:00,HydroPower,1887.1,8104.57
2022/01/01 21:00,WindPower,2268.73,10373.3
2022/01/01 21:00,Consume,181.72,10191.58
2022/01/01 22:00,SolarPower,186.66,10378.24
2022/01/01 22:00,HydroPower,4704.44,15082.68
2022/01/01 22:00,WindPower,159.43,15242.11
2022/01/01 22:00,Consume,5782.35,9459.76
2022/01/01 23:00,SolarPower,14.56,9474.32
2022/01/01 23:00,HydroPower,3447.06,12921.38
2022/01/01 23:00,WindPower,2587.5,15508.88
2022/01/01 23:00,Consume,1641.18,13867.7
2022/01/02 00:00,SolarPower,363.46,14231.16
2022/01/02 00:00,HydroPower,1934.69,16165.85
2022/01/02 00:00,WindPower,4629.23,20795.08
2022/01/02 00:00,Consume,10758.81,10036.27
2022/01/02 01:00,SolarPower,540.82,10577.09
2022/01/02 01:00,HydroPower,2287.81,12864.9
2022/01/02 01:00,WindPower,392.82,13257.72
2022/01/02 01:00,Consume,5409.31,7848.41
2022/01/02 02:00,SolarPower,4642.62,12491.03
2022/01/02 02:00,HydroPower,4051.74,16542.77
2022/01/02 02:00,WindPower,3885.42,20428.19
2022/01/02 02:00,Consume,14747.27,5680.92
2022/01/02 03:00,SolarPower,2266.76,7947.68
2022/01/02 03:00,HydroPower,4189.99,12137.67
2022/01/02 03:00,WindPower,2310.59,14448.26
2022/01/02 03:00,Consume,2551.75,11896.51
2022/01/02 04:00,SolarPower,3456.59,15353.1
2022/01/02 04:00,HydroPower,1384.21,16737.31
2022/01/02 04:00,WindPower,3466.57,20203.88
2022/01/02 04:00,Consume,17370.2,2833.68
2022/01/02 05:00,SolarPower,4214.75,7048.43
2022/01/02 05:00,HydroPower,4172.03,11220.46
2022/01/02 05:00,WindPower,311.37,11531.83
2022/01/02 05:00,Consume,713.31,10818.52
2022/01/02 06:00,SolarPower,4431.32,15249.84
2022/01/02 06:00,HydroPower,4843.84,20093.68
2022/01/02 06:00,WindPower,3294.29,23387.97
2022/01/02 06:00,Consume,4594.63,18793.34
2022/01/02 07:00,SolarPower,2704.05,21497.39
2022/01/02 07:00,HydroPower,4981.01,26478.4
2022/01/02 07:00,WindPower,592.26,27070.66
2022/01/02 07:00,Consume,6172.59,20898.07
2022/01/02 08:00,SolarPower,4864.74,25762.81
2022/01/02 08:00,HydroPower,2944.0,28706.81
2022/01/02 08:00,WindPower,463.67,29170.48
2022/01/02 08:00,Consume,9851.57,19318.91
2022/01/02 09:00,SolarPower,4724.23,24043.14
2022/01/02 09:00,HydroPower,310.9,24354.04
2022/01/02 09:00,WindPower,3989.96,28344.0
2022/01/02 09:00,Consume,14910.73,13433.27
2022/01/02 10:00,SolarPower,1004.65,14437.92
2022/01/02 10:00,HydroPower,1651.78,16089.7
2022/01/02 10:00,WindPower,2823.39,18913.09
2022/01/02 10:00,Consume,11189.89,7723.2
2022/01/02 11:00,SolarPower,1687.77,9410.97
2022/01/02 11:00,HydroPower,2735.2,12146.17
2022/01/02 11:00,WindPower,2113.68,14259.85
2022/01/02 11:00,Consume,13813.45,446.4
2022/01/02 12:00,SolarPower,3678.77,4125.17
2022/01/02 12:00,HydroPower,4119.78,8244.95
2022/01/02 12:00,WindPower,1457.79,9702.74
2022/01/02 12:00,Consume,3797.95,5904.79
2022/01/02 13:00,SolarPower,1015.69,6920.48
2022/01/02 13:00,HydroPower,4624.01,11544.49
2022/01/02 13:00,WindPower,720.32,12264.81
2022/01/02 13:00,Consume,10760.92,1503.89
2022/01/02 14:00,SolarPower,3500.64,5004.53
2022/01/02 14:00,HydroPower,2654.43,7658.96
2022/01/02 14:00,WindPower,3230.94,10889.9
2022/01/02 14:00,Consume,9851.94,1037.96
2022/01/02 15:00,SolarPower,502.03,1539.99
2022/01/02 15:00,HydroPower,3392.06,4932.05
2022/01/02 15:00,WindPower,466.29,5398.34
2022/01/02 15:00,Consume,4562.63,835.71
2022/01/02 16:00,SolarPower,3580.23,4415.94
2022/01/02 16:00,HydroPower,4189.3,8605.24
2022/01/02 16:00,WindPower,2404.52,11009.76
2022/01/02 16:00,Consume,7116.6,3893.16
2022/01/02 17:00,SolarPower,4131.39,8024.55
2022/01/02 17:00,HydroPower,3001.06,11025.61
2022/01/02 17:00,WindPower,1880.13,12905.74
2022/01/02 17:00,Consume,1752.91,11152.83
2022/01/02 18:00,SolarPower,1768.25,12921.08
2022/01/02 18:00,HydroPower,1027.68,13948.76
2022/01/02 18:00,WindPower,629.09,14577.85
2022/01/02 18:00,Consume,4960.95,9616.9
2022/01/02 19:00,SolarPower,1733.34,11350.24
2022/01/02 19:00,HydroPower,2344.39,13694.63
2022/01/02 19:00,WindPower,4429.01,18123.64
2022/01/02 19:00,Consume,15432.82,2690.82
2022/01/02 20:00,SolarPower,111.35,2802.17
2022/01/02 20:00,HydroPower,3073.35,5875.52
2022/01/02 20:00,WindPower,2517.21,8392.73
2022/01/02 20:00,Consume,4924.18,3468.55
2022/01/02 21:00,SolarPower,113.82,3582.37
2022/01/02 21:00,HydroPower,3248.09,6830.46
2022/01/02 21:00,WindPower,3961.45,10791.91
2022/01/02 21:00,Consume,5499.97,5291.94
2022/01/02 22:00,SolarPower,1703.5,6995.44
2022/01/02 22:00,HydroPower,4798.47,11793.91
2022/01/02 22:00,WindPower,3569.51,15363.42
2022/01/02 22:00,Consume,12983.18,2380.24
2022/01/02 23:00,SolarPower,2813.27,5193.51
2022/01/02 23:00,HydroPower,492.37,5685.88
2022/01/02 23:00,WindPower,2334.66,8020.54
2022/01/02 23:00,Consume,507.24,7513.3
2022/01/03 00:00,SolarPower,241.68,7754.98
2022/01/03 00:00,HydroPower,1633.28,9388.26
2022/01/03 00:00,WindPower,1977.46,11365.72
2022/01/03 00:00,Consume,5479.15,5886.57
2022/01/03 01:00,SolarPower,488.21,6374.78
2022/01/03 01:00,HydroPower,4395.85,10770.63
2022/01/03 01:00,WindPower,3118.98,13889.61
2022/01/03 01:00,Consume,12674.92,1214.69
2022/01/03 02:00,SolarPower,1686.65,2901.34
2022/01/03 02:00,HydroPower,739.44,3640.78
2022/01/03 02:00,WindPower,3878.56,7519.34
2022/01/03 02:00,Consume,2554.03,4965.31
2022/01/03 03:00,SolarPower,1846.62,6811.93
2022/01/03 03:00,HydroPower,819.79,7631.72
2022/01/03 03:00,WindPower,647.26,8278.98
2022/01/03 03:00,Consume,2606.42,5672.56
2022/01/03 04:00,SolarPower,3969.43,9641.99
2022/01/03 04:00,HydroPower,3021.23,12663.22
2022/01/03 04:00,WindPower,4855.26,17518.48
2022/01/03 04:00,Consume,7768.46,9750.02
2022/01/03 05:00,SolarPower,4235.81,13985.83
2022/01/03 05:00,HydroPower,3812.84,17798.67
2022/01/03 05:00,WindPower,1535.13,19333.8
2022/01/03 05:00,Consume,10971.46,8362.34
2022/01/03 06:00,SolarPower,2443.99,10806.33
2022/01/03 06:00,HydroPower,2358.48,13164.81
2022/01/03 06:00,WindPower,1238.12,14402.93
2022/01/03 06:00,Consume,2154.01,12248.92
2022/01/03 07:00,SolarPower,4595.73,16844.65
2022/01/03 07:00,HydroPower,1873.18,18717.83
2022/01/03 07:00,WindPower,1199.84,19917.67
2022/01/03 07:00,Consume,13449.27,6468.4
2022/01/03 08:00,SolarPower,3549.79,10018.19
2022/01/03 08:00,HydroPower,2977.78,12995.97
2022/01/03 08:00,WindPower,4451.28,17447.25
2022/01/03 08:00,Consume,6983.46,10463.79
2022/01/03 09:00,SolarPower,1814.13,12277.92
2022/01/03 09:00,HydroPower,648.83,12926.75
2022/01/03 09:00,WindPower,2178.29,15105.04
2022/01/03 09:00,Consume,9871.73,5233.31
2022/01/03 10:00,SolarPower,619.11,5852.42
2022/01/03 10:00,HydroPower,2621.0,8473.42
2022/01/03 10:00,WindPower,3665.81,12139.23
2022/01/03 10:00,Consume,12030.47,108.76
2022/01/03 11:00,SolarPower,3536.1,3644.86
2022/01/03 11:00,HydroPower,4845.96,8490.82
2022/01/03 11:00,WindPower,4428.09,12918.91
2022/01/03 11:00,Consume,6159.37,6759.54
2022/01/03 12:00,SolarPower,393.15,7152.69
2022/01/03 12:00,HydroPower,4016.06,11168.75
2022/01/03 12:00,WindPower,1253.71,12422.46
2022/01/03 12:00,Consume,6880.65,5541.81
2022/01/03 13:00,SolarPower,3109.89,8651.7
2022/01/03 13:00,HydroPower,2418.2,11069.9
2022/01/03 13:00,WindPower,2534.08,13603.98
2022/01/03 13:00,Consume,6075.4,7528.58
2022/01/03 14:00,SolarPower,2274.96,9803.54
2022/01/03 14:00,HydroPower,397.6,10201.14
2022/01/03 14:00,WindPower,3323.12,13524.26
2022/01/03 14:00,Consume,10184.81,3339.45
2022/01/03 15:00,SolarPower,2584.48,5923.93
2022/01/03 15:00,HydroPower,395.45,6319.38
2022/01/03 15:00,WindPower,1321.03,7640.41
2022/01/03 15:00,Consume,496.61,7143.8
2022/01/03 16:00,SolarPower,3079.25,10223.05
2022/01/03 16:00,HydroPower,876.26,11099.31
2022/01/03 16:00,WindPower,901.34,12000.65
2022/01/03 16:00,Consume,1172.66,10827.99
2022/01/03 17:00,SolarPower,4894.28,15722.27
2022/01/03 17:00,HydroPower,4106.36,19828.63
2022/01/03 17:00,WindPower,1802.72,21631.35
2022/01/03 17:00,Consume,16556.81,5074.54
2022/01/03 18:00,SolarPower,1002.22,6076.76
2022/01/03 18:00,HydroPower,3607.02,9683.78
2022/01/03 18:00,WindPower,918.11,10601.89
2022/01/03 18:00,Consume,1525.63,9076.26
2022/01/03 19:00,SolarPower,4827.56,13903.82
2022/01/03 19:00,HydroPower,964.94,14868.76
2022/01/03 19:00,WindPower,33.39,14902.15
2022/01/03 19:00,Consume,197.26,14704.89
2022/01/03 20:00,SolarPower,1131.52,15836.41
2022/01/03 20:00,HydroPower,3928.59,19765.0
2022/01/03 20:00,WindPower,775.85,20540.85
2022/01/03 20:00,Consume,9395.64,11145.21
2022/01/03 21:00,SolarPower,4163.64,15308.85
2022/01/03 21:00,HydroPower,1221.85,16530.7
2022/01/03 21:00,WindPower,1501.99,18032.69
